,address,category,date,dayofweek,descript,incidntnum,location,pddistrict,resolution,time,x,y
351,900 Block of LARKIN ST,WARRANTS,2013-08-24,Saturday,ENROUTE TO ADULT AUTHORITY,130706148,"{u'latitude': u'37.7868103734135', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.418156523953'}",NORTHERN,"ARREST, BOOKED",19:00,-122.418156524,37.7868103734
352,COLUMBUS AV / VALLEJO ST,ASSAULT,2013-11-14,Thursday,BATTERY OF A POLICE OFFICER,130966881,"{u'latitude': u'37.7986962742997', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407871572784'}",CENTRAL,"ARREST, CITED",18:40,-122.407871573,37.7986962743
353,100 Block of URBANO DR,OTHER OFFENSES,2004-04-03,Saturday,LOST/STOLEN LICENSE PLATE,40383606,"{u'latitude': u'37.7252041089684', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.464730624735'}",TARAVAL,NONE,14:30,-122.464730625,37.725204109
354,2800 Block of TAYLOR ST,LARCENY/THEFT,2010-05-08,Saturday,GRAND THEFT PICKPOCKET,100427089,"{u'latitude': u'37.8085905137102', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415923448242'}",CENTRAL,NONE,08:00,-122.415923448,37.8085905137
355,ELLIS ST / JONES ST,DRUG/NARCOTIC,2003-06-06,Friday,POSSESSION OF BASE/ROCK COCAINE,30687753,"{u'latitude': u'37.7848656939297', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.412784096509'}",TENDERLOIN,"ARREST, BOOKED",18:04,-122.412784097,37.7848656939
356,100 Block of HYDE ST,ASSAULT,2010-10-01,Friday,BATTERY,100911690,"{u'latitude': u'37.7821198488931', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415669661443'}",TENDERLOIN,NONE,05:04,-122.415669661,37.7821198489
357,MISSION ST / VIRGINIA AV,OTHER OFFENSES,2006-03-14,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",60280941,"{u'latitude': u'37.74312201456', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.421488652002'}",INGLESIDE,"ARREST, CITED",17:25,-122.421488652,37.7431220146
358,600 Block of 39TH AV,NON-CRIMINAL,2004-11-11,Thursday,"DEATH REPORT, CAUSE UNKNOWN",4129175,"{u'latitude': u'37.7765353836561', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.499452303575'}",RICHMOND,NONE,19:15,-122.499452304,37.7765353837
359,1000 Block of PLYMOUTH AV,OTHER OFFENSES,2008-05-20,Tuesday,TRAFFIC VIOLATION,80529569,"{u'latitude': u'37.7209571573431', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.456068415745'}",TARAVAL,JUVENILE BOOKED,15:23,-122.456068416,37.7209571573
360,1200 Block of ELLIS ST,LARCENY/THEFT,2007-10-11,Thursday,GRAND THEFT FROM A BUILDING,71058553,"{u'latitude': u'37.7831367499779', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.425944356826'}",NORTHERN,NONE,11:00,-122.425944357,37.78313675
361,500 Block of PORTOLA DR,MISSING PERSON,2013-09-17,Tuesday,MISSING JUVENILE,130783049,"{u'latitude': u'37.7455640062989', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.451163989719'}",INGLESIDE,LOCATED,14:47,-122.45116399,37.7455640063
362,VANNESS AV / MCALLISTER ST,LARCENY/THEFT,2013-12-14,Saturday,PETTY THEFT FROM LOCKED AUTO,131051031,"{u'latitude': u'37.7800745746334', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.420250482603'}",NORTHERN,NONE,12:30,-122.420250483,37.7800745746
363,1900 Block of BUCHANAN ST,DRUG/NARCOTIC,2004-04-11,Sunday,POSSESSION OF MARIJUANA,40416138,"{u'latitude': u'37.7879047617822', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.430332286295'}",NORTHERN,"ARREST, BOOKED",21:42,-122.430332286,37.7879047618
364,1700 Block of SAN JOSE AV,NON-CRIMINAL,2007-06-12,Tuesday,"DEATH REPORT, CAUSE UNKNOWN",70594754,"{u'latitude': u'37.7298264446276', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.438711322606'}",INGLESIDE,NONE,15:49,-122.438711323,37.7298264446
365,0 Block of ROLPH ST,VEHICLE THEFT,2005-06-30,Thursday,"VEHICLE, RECOVERED, AUTO",50732968,"{u'latitude': u'37.7155359420426', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.440928324977'}",INGLESIDE,NONE,22:11,-122.440928325,37.715535942
366,700 Block of 4TH ST,LARCENY/THEFT,2013-01-02,Wednesday,PETTY THEFT OF PROPERTY,136009916,"{u'latitude': u'37.7766651941599', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.394548293028'}",SOUTHERN,NONE,21:30,-122.394548293,37.7766651942
367,PERSIA AV / MISSION ST,NON-CRIMINAL,2014-09-03,Wednesday,LOST PROPERTY,140744376,"{u'latitude': u'37.7231288306727', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.43597721703'}",INGLESIDE,NONE,09:45,-122.435977217,37.7231288307
368,0 Block of PHELAN AV,VANDALISM,2007-06-21,Thursday,"MALICIOUS MISCHIEF, VANDALISM",70747323,"{u'latitude': u'37.7257172546557', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.452428220398'}",INGLESIDE,NONE,01:00,-122.45242822,37.7257172547
369,200 Block of JOOST AV,LARCENY/THEFT,2010-03-15,Monday,GRAND THEFT FROM LOCKED AUTO,106031842,"{u'latitude': u'37.7324172771969', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.440909696779'}",INGLESIDE,NONE,12:00,-122.440909697,37.7324172772
370,1700 Block of OAK ST,SUSPICIOUS OCC,2013-11-11,Monday,SUSPICIOUS OCCURRENCE,130956917,"{u'latitude': u'37.7718254753062', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.448161924701'}",PARK,COMPLAINANT REFUSES TO PROSECUTE,17:50,-122.448161925,37.7718254753
371,100 Block of TURK ST,DRUG/NARCOTIC,2014-08-19,Tuesday,POSSESSION OF METH-AMPHETAMINE,140694787,"{u'latitude': u'37.7830529510782', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.411593095704'}",TENDERLOIN,"ARREST, BOOKED",10:51,-122.411593096,37.7830529511
372,SAN BRUNO AV / SILVER AV,OTHER OFFENSES,2009-12-09,Wednesday,TRAFFIC VIOLATION ARREST,91259640,"{u'latitude': u'37.732438864982', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.405610268222'}",BAYVIEW,"ARREST, BOOKED",18:33,-122.405610268,37.732438865
373,OCEAN AV / CAYUGA AV,OTHER OFFENSES,2003-09-19,Friday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",31108427,"{u'latitude': u'37.7236014483887', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.438808041924'}",INGLESIDE,"ARREST, BOOKED",16:46,-122.438808042,37.7236014484
374,800 Block of BRYANT ST,FAMILY OFFENSES,2010-06-16,Wednesday,"CHILDREN, ABANDONMENT & NEGLECT OF (GENERAL)",100555903,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,NONE,11:35,-122.403404791,37.7754207067
375,900 Block of BEACH ST,DRUNKENNESS,2003-03-21,Friday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,30340901,"{u'latitude': u'37.8062091993678', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.424370033297'}",CENTRAL,"ARREST, BOOKED",21:20,-122.424370033,37.8062091994
376,200 Block of STEINER ST,BURGLARY,2014-01-29,Wednesday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",140087239,"{u'latitude': u'37.7712016883815', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.432022211083'}",NORTHERN,NONE,07:00,-122.432022211,37.7712016884
377,400 Block of 39TH AV,NON-CRIMINAL,2014-12-05,Friday,"AIDED CASE, MENTAL DISTURBED",141025690,"{u'latitude': u'37.7803500268397', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.499730086785'}",RICHMOND,NONE,12:09,-122.499730087,37.7803500268
378,1200 Block of WEBSTER ST,ASSAULT,2013-12-13,Friday,"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION",131061563,"{u'latitude': u'37.7820966815117', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.430857476037'}",NORTHERN,UNFOUNDED,20:00,-122.430857476,37.7820966815
379,2100 Block of MARKET ST,BURGLARY,2013-10-20,Sunday,"BURGLARY OF HOTEL ROOM, UNLAWFUL ENTRY",130889631,"{u'latitude': u'37.7668305229582', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.430018655242'}",MISSION,NONE,13:10,-122.430018655,37.766830523
380,800 Block of BRYANT ST,NON-CRIMINAL,2009-11-05,Thursday,FOUND PROPERTY,91143281,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,NONE,21:00,-122.403404791,37.7754207067
381,1200 Block of WASHINGTON ST,LARCENY/THEFT,2010-06-12,Saturday,GRAND THEFT FROM LOCKED AUTO,100551230,"{u'latitude': u'37.7941589668687', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413833965089'}",CENTRAL,NONE,01:00,-122.413833965,37.7941589669
382,1900 Block of MARKET ST,LARCENY/THEFT,2005-05-17,Tuesday,GRAND THEFT OF PROPERTY,50547353,"{u'latitude': u'37.769249045094', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.426498379985'}",SOUTHERN,NONE,11:00,-122.42649838,37.7692490451
383,800 Block of MARKET ST,BURGLARY,2010-11-21,Sunday,"BURGLARY OF STORE, UNLAWFUL ENTRY",101080612,"{u'latitude': u'37.7850629421661', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406520987144'}",SOUTHERN,"ARREST, BOOKED",13:00,-122.406520987,37.7850629422
384,900 Block of MARKET ST,WEAPON LAWS,2014-05-04,Sunday,POSS OF LOADED FIREARM,140370056,"{u'latitude': u'37.7837069301545', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408595110869'}",SOUTHERN,"ARREST, BOOKED",19:30,-122.408595111,37.7837069302
385,1100 Block of ELLIS ST,SUSPICIOUS OCC,2004-06-03,Thursday,SUSPICIOUS OCCURRENCE,40651798,"{u'latitude': u'37.7832452486459', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.425966024744'}",NORTHERN,NONE,15:19,-122.425966025,37.7832452486
386,1700 Block of 15TH ST,RUNAWAY,2010-01-20,Wednesday,RUNAWAY,100072656,"{u'latitude': u'37.7663805130537', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.423764533649'}",MISSION,LOCATED,18:30,-122.423764534,37.7663805131
387,1100 Block of HARRISON ST,VANDALISM,2003-08-01,Friday,"MALICIOUS MISCHIEF, GRAFFITI",30910429,"{u'latitude': u'37.7745064057513', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407669432547'}",SOUTHERN,"ARREST, BOOKED",23:00,-122.407669433,37.7745064058
388,500 Block of 26TH AV,LARCENY/THEFT,2013-05-01,Wednesday,PETTY THEFT OF PROPERTY,130357525,"{u'latitude': u'37.7790623532174', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.485667055034'}",RICHMOND,NONE,19:45,-122.485667055,37.7790623532
389,200 Block of GEARY ST,ASSAULT,2009-05-09,Saturday,BATTERY,90485127,"{u'latitude': u'37.7874074125228', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407413025963'}",CENTRAL,NONE,23:50,-122.407413026,37.7874074125
390,500 Block of SCOTT ST,BURGLARY,2012-10-27,Saturday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",120871927,"{u'latitude': u'37.7747589552821', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.435968136819'}",PARK,NONE,16:30,-122.435968137,37.7747589553
391,500 Block of UTAH ST,PROSTITUTION,2004-09-21,Tuesday,SOLICITS FOR ACT OF PROSTITUTION,41084328,"{u'latitude': u'37.7626173568918', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406173615078'}",MISSION,"ARREST, BOOKED",22:48,-122.406173615,37.7626173569
392,3200 Block of 20TH AV,NON-CRIMINAL,2003-06-25,Wednesday,LOST PROPERTY,30761830,"{u'latitude': u'37.7285280627465', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.475647460786'}",TARAVAL,NONE,12:00,-122.475647461,37.7285280627
393,100 Block of ONONDAGA AV,VEHICLE THEFT,2008-09-02,Tuesday,STOLEN AUTOMOBILE,80930790,"{u'latitude': u'37.7222712683841', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.440122217509'}",INGLESIDE,NONE,21:30,-122.440122218,37.7222712684
394,25TH ST / MISSISSIPPI ST,VANDALISM,2004-11-06,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",41270511,"{u'latitude': u'37.7524868718945', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.393621427063'}",BAYVIEW,NONE,00:01,-122.393621427,37.7524868719
395,2000 Block of OAKDALE AV,LARCENY/THEFT,2010-10-01,Friday,PETTY THEFT OF PROPERTY,106144285,"{u'latitude': u'37.7394292585009', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.398725523286'}",BAYVIEW,NONE,15:00,-122.398725523,37.7394292585
396,100 Block of NORTHPOINT ST,LARCENY/THEFT,2004-10-25,Monday,PETTY THEFT FROM LOCKED AUTO,41227926,"{u'latitude': u'37.8070069069938', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.409702005184'}",CENTRAL,NONE,19:00,-122.409702005,37.807006907
397,1900 Block of MISSION ST,ASSAULT,2012-03-03,Saturday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,120179367,"{u'latitude': u'37.7658510977435', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41967661615'}",MISSION,"ARREST, BOOKED",20:30,-122.419676616,37.7658510977
398,100 Block of TAYLOR ST,WARRANTS,2011-01-17,Monday,ENROUTE TO OUTSIDE JURISDICTION,110050959,"{u'latitude': u'37.7836952269749', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410791677645'}",TENDERLOIN,"ARREST, BOOKED",12:07,-122.410791678,37.783695227
399,1100 Block of ARGUELLO BL,ASSAULT,2006-09-24,Sunday,BATTERY,61022449,"{u'latitude': u'37.7666852184101', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.457837209449'}",PARK,NONE,18:00,-122.457837209,37.7666852184
400,OAKDALE AV / QUINT ST,OTHER OFFENSES,2004-01-24,Saturday,TRAFFIC VIOLATION,40095384,"{u'latitude': u'37.7377836782765', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.395948175211'}",BAYVIEW,"ARREST, CITED",15:50,-122.395948175,37.7377836783
401,2000 Block of MISSION ST,DRUG/NARCOTIC,2004-07-18,Sunday,POSSESSION OF CONTROLLED SUBSTANCE,40819491,"{u'latitude': u'37.7642205603745', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41965834371'}",MISSION,"ARREST, BOOKED",19:55,-122.419658344,37.7642205604
402,400 Block of MANSELL ST,FORGERY/COUNTERFEITING,2009-05-08,Friday,"FORGERY, DRIVERS LICENSE OR ID-CARD",90521276,"{u'latitude': u'37.7204106184752', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406079770608'}",BAYVIEW,NONE,13:00,-122.406079771,37.7204106185
403,EDDY ST / TAYLOR ST,DRUG/NARCOTIC,2011-05-14,Saturday,SALE OF MARIJUANA,110388982,"{u'latitude': u'37.7841399509594', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410955248906'}",TENDERLOIN,"ARREST, BOOKED",11:45,-122.410955249,37.784139951
404,3500 Block of JACKSON ST,VEHICLE THEFT,2014-12-02,Tuesday,STOLEN AUTOMOBILE,141019518,"{u'latitude': u'37.7901369332574', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.453327306696'}",RICHMOND,UNFOUNDED,17:00,-122.453327307,37.7901369333
405,2600 Block of MASON ST,NON-CRIMINAL,2014-02-25,Tuesday,"AIDED CASE, MENTAL DISTURBED",140165227,"{u'latitude': u'37.8079694729269', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.414003178329'}",CENTRAL,PSYCHOPATHIC CASE,12:52,-122.414003178,37.8079694729
406,1700 Block of REVERE AV,SUSPICIOUS OCC,2004-08-12,Thursday,SUSPICIOUS OCCURRENCE,40918883,"{u'latitude': u'37.7330781710011', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.392775772337'}",BAYVIEW,NONE,11:55,-122.392775772,37.733078171
407,CESAR CHAVEZ ST / FOLSOM ST,OTHER OFFENSES,2006-10-22,Sunday,TRAFFIC VIOLATION,61128780,"{u'latitude': u'37.7482568705647', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.413671670593'}",MISSION,"ARREST, CITED",17:30,-122.413671671,37.7482568706
408,4TH AV / CALIFORNIA ST,ROBBERY,2006-07-31,Monday,"ROBBERY ON THE STREET, STRONGARM",60810883,"{u'latitude': u'37.7852637587755', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.462441388727'}",RICHMOND,NONE,20:50,-122.462441389,37.7852637588
409,0 Block of 1ST ST,ASSAULT,2005-01-03,Monday,BATTERY,50010601,"{u'latitude': u'37.7903612472591', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.398423637988'}",SOUTHERN,NONE,23:00,-122.398423638,37.7903612473
410,MARKET ST / GOLDEN GATE AV,OTHER OFFENSES,2003-05-06,Tuesday,PROBATION VIOLATION,30543343,"{u'latitude': u'37.7822305869807', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.410293519697'}",SOUTHERN,"ARREST, BOOKED",12:27,-122.41029352,37.782230587
